symbol,year,sub_sector_id,eps_estimate,revenue_estimate
SMBR.JK,2023,8,,1730000000.0
SMBR.JK,2024,8,,1880000000.0
SMCB.JK,2023,8,,9570000000.0
SMCB.JK,2024,8,,10300000000.0
SMGR.JK,2023,8,397.25,38910000000.0
SMGR.JK,2024,8,480.6,40530000000.0
SMRA.JK,2023,7,44.91,6340000000.0
SMRA.JK,2024,7,50.0,7000000000.0
SPTO.JK,2023,5,,2460000000.0
SRIL.JK,2023,9,,14910000000.0
SRIL.JK,2024,9,,16210000000.0
SRTG.JK,2023,21,215.32,3410000000.0
SRTG.JK,2024,21,165.32,3030000000.0
SSIA.JK,2023,27,31.72,4370000000.0
SSIA.JK,2024,27,50.12,4750000000.0
SSMS.JK,2023,2,74.0,5300000000.0
SSMS.JK,2024,2,55.0,5090000000.0
SUPR.JK,2023,6,,1910000000.0
SUPR.JK,2024,6,,2400000000.0
TBIG.JK,2023,6,67.59,6630000000.0
TBIG.JK,2024,6,74.23,6900000000.0
TBLA.JK,2023,2,120.0,15980000000.0
TBLA.JK,2024,2,131.2,17100000000.000002
TINS.JK,2023,8,-10.1,8470000000.000001
TINS.JK,2024,8,4.5,8830000000.0
TLKM.JK,2023,6,262.76,151880000000.0
TLKM.JK,2024,6,282.31,157790000000.0
TOTO.JK,2023,5,,1920000000.0
TOWR.JK,2023,6,68.25,11670000000.0
TOWR.JK,2024,6,74.2,12320000000.0
TPIA.JK,2023,8,15.4,34850000000000.0
TPIA.JK,2024,8,15.4,38200000000000.0
ULTJ.JK,2023,2,114.41,8240000000.0
ULTJ.JK,2024,2,136.85,9130000000.0
UNTR.JK,2023,5,5460.14,125110000000.0
UNTR.JK,2024,5,4790.18,116420000000.0
UNVR.JK,2023,16,144.52,40910000000.0
UNVR.JK,2024,16,154.03,42600000000.0
VIVA.JK,2023,13,,3600000000.0
WIKA.JK,2023,27,-107.6,23940000000.0
WIKA.JK,2024,27,-49.1,27000000000.0
WINS.JK,2023,18,,954690000.0
WINS.JK,2024,18,,1010000000.0
WOOD.JK,2023,1,,7540000000.0
WOOD.JK,2024,1,,8750000000.0
WSKT.JK,2023,27,,15300000000.0
WSKT.JK,2024,27,,18630000000.0
WTON.JK,2023,8,,7100000000.0
WTON.JK,2024,8,,7690000000.0
