symbol,revenue_year_ago,total_revenue,basic_eps,sub_sector_id
DOID.JK,22910000000000.0,24064320454057.9,57.771356272267,18
DPUM.JK,,723804994492.0,-10.95,2
DRMA.JK,,3905415064469.0,84.0,10
DSNG.JK,,9633671000000.0,113.86,2
DSSA.JK,,92249949075488.8,11925.9904369023,18
DUTI.JK,,3017085551871.0,404.08,7
DVLA.JK,,1917041442000.0,133.0,24
DWGL.JK,,2784896376000.0,0.37,18
DYAN.JK,,1210481160296.0,10.77,25
ECII.JK,,2192317036972.0,10.0,14
EDGE.JK,,822222000000.0,460.0,30
ELPI.JK,,632831000000.0,15.29,32
ELSA.JK,,12305690000000.0,51.8,18
ELTY.JK,,1027232000000.0,-5.636437,7
EMDE.JK,,153441610795.0,-20.331286,7
EMTK.JK,15520000000.0,15524642337000.0,89.39,30
ENAK.JK,,1265243615372.0,28.746823,11
ENRG.JK,6120000000.0,6999778780908.57,41.6635250328145,18
EPMT.JK,,28027488218598.0,313.0,15
ERAA.JK,49470000000.0,49471483883000.0,63.87,14
ERAL.JK,,3037345793667.0,35.471783,14
ESSA.JK,10850000000000.0,11329547400476.2,137.303773017064,8
ETWA.JK,,48306825917.0,-60.42,8
EXCL.JK,29140000000.0,29141994000000.0,105.0,6
FAPA.JK,,4828633601246.0,195.39,2
FAST.JK,,5857474313000.0,-19.0,11
FASW.JK,,10890282000000.0,48.4,8
FILM.JK,,436858263009.0,16.89,13
FIRE.JK,,250181705309.0,-64.31,18
FISH.JK,,24241212660748.3,1037.71605100319,2
FMII.JK,,52372680139.0,5.544877,7
FPNI.JK,,7339579769154.32,7.74414963435215,8
FREN.JK,,11202578877954.0,3.35,6
FUJI.JK,,10417063853.0,6.39,20
GDST.JK,,2594504651438.0,32.2,8
GEMA.JK,,1109283319347.0,0.13,1
GEMS.JK,,45225282527627.5,1791.37669341834,18
GGRM.JK,124680000000.0,124682692000000.0,1445.0,3
GGRP.JK,,14644142801418.7,74.3438364897806,8
GIAA.JK,31830000000000.0,32526660682392.2,2190.81993155822,33
GJTL.JK,14150000000.0,17170492000000.0,-52.0,10
GMFI.JK,439280000.0,3697117331388.77,1.54882992687043,28
GMTD.JK,,315372288026.0,88.62,7
GOOD.JK,,10510942813705.0,11.64,2
GOTO.JK,11350000000.0,11349167000000.0,-37.68042,30
GPRA.JK,,370376407242.0,17.65,7
GSMF.JK,,1649505000000.0,1.28,21
GTBO.JK,,763064657593.831,46.2015967185449,18
GTSI.JK,,638526743529.814,5.57578773673355,18
GWSA.JK,,57039668930.0,3.99,11
GZCO.JK,,554721000000.0,13.0,2
HDFA.JK,,122956634000.0,6.39,20
