symbol,revenue_year_ago,avg_estimate_earnings_current_year,avg_estimate_earnings_next_year,avg_estimate_revenue_current_year,avg_estimate_revenue_next_year,estimate_overall_growth_current_year,estimate_overall_growth_next_year,estimate_overall_growth_next_five_years,total_revenue,basic_eps,sub_sector_id,multiplier,ratio_mult
MTDL.JK,20990000000000.0,,,24020000000.0,27630000000.0,,,,20988297000000.0,47.0,31,1000,0.999918866126727
MTEL.JK,7730000000000.0,24.65,27.9,8610000000.0,9270000000.0,0.174,0.132,,7728929831000.0,21.0,6,1000,0.9998615564036223
MYOR.JK,30670000000000.0,119.8,139.92,33009999999.999996,36210000000.0,0.377,0.168,0.3864,30669405967404.0,87.0,2,1000,0.9999806314771438
PBRX.JK,6460000000000.0,,,482000000.0,553000000.0,,,,10687604046545.8,6.41215589724358,9,1,1.6544278709823221
PGAS.JK,53270000000000.0,172.51,188.2,54010000000000.0,54610000000000.0,-0.111,0.091,0.1557,55271463843934.5,201.347890493156,18,1,1.0375720638996526
PNLF.JK,5100000000000.0,,,4580000000.0,4870000000.0,,,,2715058000000.0,56.16,4,1000,0.5323643137254902
POWR.JK,8250000000000.0,,94.1,8560000000000.001,8550000000000.001,,,0.15869999999999998,8525547807278.64,71.2461766360397,29,1,1.0333997342155927
PTBA.JK,42650000000000.0,548.25,467.25,38740000000.0,37610000000.0,-0.499,-0.14800000000000002,0.07769999999999999,42648590000000.0,1094.0,18,1000,0.99996694021102
PTPP.JK,18920000000000.0,104.6,53.9,23260000000.0,23340000000.0,1.3769999999999998,-0.485,0.0949,18921838539997.0,44.0,27,1000,1.0000971744184461
PWON.JK,5990000000000.0,40.68,43.99,6080000000.0,6490000000.0,0.273,0.081,0.1444,5987432707000.0,31.95,7,1000,0.9995714035058431
PZZA.JK,3610000000000.0,1.4,8.3,3730000000.0,3880000000.0,1.179,4.928999999999999,,3612319039640.0,-7.8,11,1000,1.0006423932520776
RALS.JK,3000000000000.0,49.32,58.06,3440000000.0,3770000000.0,-0.122,0.177,0.1819,2996613000000.0,56.17,14,1000,0.998871
ROTI.JK,3940000000000.0,59.72,75.6,4099999999.9999995,4560000000.0,-0.204,0.266,,3935182048668.0,74.98,2,1000,0.9987771697126904
SAME.JK,775570000000.0,,,954000000.0,1140000000.0,,,,1393542157498.0,0.25,23,1000,1.796797397395464
SCMA.JK,7130000000000.0,12.45,14.69,6710000000.0,7170000000.0,-0.07,0.18,0.1003,7132533909000.0,13.39,13,1000,1.0003553869565218
SIDO.JK,3870000000000.0,32.79,35.68,3630000000.0,3820000000.0,-0.109,0.08800000000000001,0.0969,3865523000000.0,36.82,24,1000,0.9988431524547804
SILO.JK,9520000000000.0,80.73,92.11,10960000000.0,12120000000.0,0.14400000000000002,0.141,0.4839,9518012000000.0,70.74,23,1000,0.9997911764705882
SIMP.JK,17790000000000.0,16.0,17.6,13690000000.0,15180000000.0,-0.792,0.1,0.154,17794246000000.0,77.0,2,1000,1.0002386734120292
SMBR.JK,1550000000000.0,,,1730000000.0,1880000000.0,,,,1881767356000.0,10.0,8,1000,1.214043455483871
SMCB.JK,9380000000000.0,,,9570000000.0,10300000000.0,,,0.1393,12262048000000.0,93.0,8,1000,1.3072545842217485
SMGR.JK,36380000000000.0,397.25,480.6,38910000000.0,40530000000.0,0.001,0.21,0.2462,36378597000000.0,397.0,8,1000,0.9999614348543155
SMRA.JK,5720000000000.0,45.46,50.0,6410000000.0,7000000000.0,0.2,0.1,0.34299999999999997,5719396239000.0,37.88,7,1000,0.9998944473776223
SPTO.JK,2510000000000.0,,,2460000000.0,,,,,2505644878372.0,76.55,5,1000,0.9982648917816733
SRIL.JK,10160000000000.0,,,14910000000.0,16210000000.0,,,,8124624212982.96,-298.924175885993,9,1000,0.7996677374983229
SRTG.JK,6340000000000.0,215.32,165.32,3410000000.0,3030000000.0,-0.363,-0.23199999999999998,,6338674000000.0,342.0,21,1000,0.9997908517350158
SSIA.JK,3610000000000.0,31.72,50.12,4370000000.0,4750000000.0,-0.179,0.58,-0.5153,3614941222156.0,38.65,27,1000,1.0013687596
SSMS.JK,7260000000000.0,74.0,55.0,5300000000.0,5090000000.0,-0.616,-0.257,,7261218471000.0,192.9,2,1000,1.0001678334710744
SUPR.JK,1820000000000.0,,,1910000000.0,2400000000.0,,,0.05,1888257000000.0,823.0,6,1000,1.0375038461538462
TBIG.JK,6520000000000.0,67.65,74.23,6630000000.0,6900000000.0,-0.079,0.09699999999999999,0.0654,6524369000000.0,73.44,6,1000,1.00067009202454
TBLA.JK,16579999999999.998,120.0,131.2,15980000000.0,17100000000.000002,-0.19899999999999998,0.09300000000000001,,16579960000000.0,149.758321,2,1000,0.9999975874547649
TINS.JK,12500000000000.0,-10.1,4.5,8470000000.000001,8830000000.0,-1.072,1.446,-0.051,12504297000000.0,140.0,8,1000,1.00034376
TLKM.JK,147310000000000.0,262.76,282.31,151880000000.0,157790000000.0,0.254,0.07400000000000001,0.0824,147306000000000.0,209.49,6,1000,0.9999728463783857
TOTO.JK,2089999999999.9998,,,1920000000.0,,,,,2086058728390.0,30.37,5,1000,0.9981142241100479
TOWR.JK,11040000000000.0,68.25,74.2,11670000000.0,12320000000.0,-0.011000000000000001,0.087,0.0655,11035650000000.0,69.0,6,1000,0.9996059782608696
TPIA.JK,35730000000000.0,15.68,15.68,35490000000000.0,38900000000000.0,,,0.026099999999999998,36933259041458.8,-32.525428464279,8,1,1.0336764355292134
ULTJ.JK,7660000000000.0,114.41,136.85,8240000000.0,9130000000.0,0.244,0.196,,7656252000000.0,92.0,2,1000,0.9995107049608355
UNTR.JK,123610000000000.0,5440.97,4847.81,125830000000.0,117010000000.0,-0.042,-0.109,0.2,123607460000000.0,5679.0,5,1000,0.9999794515006877
UNVR.JK,41220000000000.0,144.52,154.03,40910000000.0,42600000000.0,0.025,0.066,0.04,41218881000000.0,141.0,16,1000,0.9999728529839883
VIVA.JK,2770000000000.0,,,3600000000.0,,,,0.43,1698619532000.0,-104.558,13,1000,0.6132200476534296
WIKA.JK,21480000000000.0,-107.6,-49.1,23940000000.0,27000000000.0,-15.205,0.544,0.1524,21480791864000.0,-6.64,27,1000,1.0000368651769087
WINS.JK,829000000000.0,,,954690000.0,1010000000.0,,,0.2883,944796539621.676,3.87207481717607,18,1000,1.1396821949598022
WOOD.JK,4530000000000.0,,,7540000000.0,8750000000.0,,,,4526699532441.0,27.99,1,1000,0.9992714199649007
WSKT.JK,12220000000000.0,,,15300000000.0,18630000000.0,,,-0.1325,15302872338467.0,-65.95,27,1000,1.2522808787616202
WTON.JK,6000000000000.0,,,7100000000.0,7690000000.0,,,0.1636,6003788032167.0,18.69,8,1000,1.0006313386945
