symbol,sub_sector_id,estimate_overall_growth_current_year,estimate_overall_growth_next_year,estimate_overall_growth_next_five_years,estimate_growth_earnings_current_year,estimate_growth_earnings_next_year,estimate_growth_revenue_current_year,estimate_growth_revenue_next_year
MBSS.JK,18,,,,,,-0.16713141845728113,-0.057543447201660235
MCAS.JK,30,-0.594,2.303,,-0.5857142857142856,0.36821428571428577,0.053197626951632694,0.12140780479584021
MCOL.JK,18,,,,,,,
MCOR.JK,19,,,,,,,
MDIA.JK,13,,,,,,,
MDKA.JK,8,0.39899999999999997,1.0,11289.5,0.6247103418802399,2.249678943233041,1792.2232221189233,2547.8114837567814
MDLN.JK,7,,,-0.0253,,,1.275084448570233,1.275084448570233
MDRN.JK,25,,,1.311,,,,
MEDC.JK,18,-0.364,0.083,-0.059000000000000004,-0.44747344308396286,-0.4014246842607709,955.9291661647536,919.9081966767893
MEGA.JK,19,,,,,,,
MERK.JK,24,,,,,,,
META.JK,28,,,,,,,
MFIN.JK,20,,,,,,,
MGRO.JK,2,,,,,,,
MICE.JK,1,,,,,,,
MIDI.JK,15,,,,,,,
MIKA.JK,23,0.004,0.18,0.0325,0.004468649629940056,0.18558860494344373,0.08176657762700394,0.22007463321401816
MINA.JK,11,,,,,,,
MIRA.JK,32,,,,,,,
MKNT.JK,14,,,,,,,
MKPI.JK,7,,,,,,,
MKTR.JK,2,,,,,,,
MLBI.JK,2,0.172,0.1,,0.172004555808656,0.289248291571754,0.1300497896084859,0.24562306354571742
MLIA.JK,5,,,,,,,
MLPL.JK,15,,,,,,,
MLPT.JK,30,,,,,,,
MMLP.JK,7,,,,,,,
MNCN.JK,13,,,0.08839999999999999,,,,
MOLI.JK,8,,,,,,,
MORA.JK,6,,,,,,,
MPMX.JK,14,,,0.1371,,,-0.02141231469810452,0.06020205520678492
MPPA.JK,15,,,0.3582,,,0.23946772751077522,
MPRO.JK,7,,,,,,,
MRAT.JK,16,,,,,,,
MREI.JK,4,,,,,,,
MSIN.JK,13,,,,,,,
MSKY.JK,13,,,,,,,
MTDL.JK,31,,,,,,0.1444473079449943,0.3164479233355617
MTEL.JK,6,0.233,0.11900000000000001,,0.23333333333333325,0.3804761904761904,0.11787791957248525,0.2084467325008116
